title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link,matched_image,mean_rating,cluster,cluster_name,search_blob
Data Science for Supply Chain Forecasting,[ Nicolas Vandeput],51.95,280.0,4.6,69.0,73.0,15.0,10.0,2.0,3.0,9.5 x 0.7 x 6.6 inches,1.16,English,"De Gruyter; 2nd edition (March 22, 2021)",978-3110671100,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09610732VGIZWA3ZD5ZK&qualifier=1671164641&id=1501437279550579&widgetName=sp_btf&url=%2FData-Science-Supply-Chain-Forecasting%2Fdp%2F3110671107%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671164641%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-60-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09610732VGIZWA3ZD5ZK&qualifier=1671164641&id=1501437279550579&widgetName=sp_btf&url=%2FData-Science-Supply-Chain-Forecasting%2Fdp%2F3110671107%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671164641%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-60-spons%26psc%3D1,data_science_for_supply_chain_forecasting.jpg,4.485436893203883,1,General Data Science & R/Python Basics,"Data Science for Supply Chain Forecasting [ Nicolas Vandeput] English De Gruyter; 2nd edition (March 22, 2021) General Data Science & R/Python Basics rating 4.6 stars 4.485436893203883 69 reviews priced at $51.95 280 pages"
"Fluent Python: Clear, Concise, and Effective Programming",[ Luciano Ramalho],50.99,1012.0,4.7,172.0,86.0,7.0,2.0,3.0,2.0,7 x 2 x 9.25 inches,3.53,English,"O'Reilly Media; 2nd edition (May 10, 2022)",978-1492056355,/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51,fluent_python_clear_concise_and_effective_programming.jpg,4.72,2,Advanced Data Analysis Techniques,"Fluent Python: Clear, Concise, and Effective Programming [ Luciano Ramalho] English O'Reilly Media; 2nd edition (May 10, 2022) Advanced Data Analysis Techniques rating 4.7 stars 4.72 172 reviews priced at $50.99 1012 pages"
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,[ Leonard J. Ledger],15.969999999999999,88.0,4.9,264.0,94.0,4.0,1.0,2.0,3.0,8.5 x 0.2 x 11 inches,9.9,English,"Independently published (September 24, 2022)",979-8354411122,/Python-Programming-Beginners-Step-Hands/dp/B0BFTYFPBY/ref=sr_1_46?keywords=python&qid=1671164641&sr=8-46,https://www.amazon.com/Python-Programming-Beginners-Step-Hands/dp/B0BFTYFPBY/ref=sr_1_46?keywords=python&qid=1671164641&sr=8-46,python_programming_for_beginners_the_1_python_programming_crash_course_for_beginners_to_learn_python_coding_well_and_fast_with_hands_on_exercises.jpg,4.769230769230769,0,Beginner Python & Data Analysis,"Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects [ Leonard J. Ledger] English Independently published (September 24, 2022) Beginner Python & Data Analysis rating 4.9 stars 4.769230769230769 264 reviews priced at $15.97 88 pages"
Python for Everybody: Exploring Data in Python 3,"[ Charles R. Severance, Aimee Andrion, et al.]",0.990000000000002,387.0,4.6,2568.0,76.0,16.0,5.0,2.0,2.0,Unknown,3.9848227199133675,English,Unknown,Unknown,/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=sr_1_44?keywords=python&qid=1671164641&sr=8-44,https://www.amazon.com/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=sr_1_44?keywords=python&qid=1671164641&sr=8-44,python_for_everybody_exploring_data_in_python_3.jpg,4.603960396039604,1,General Data Science & R/Python Basics,"Python for Everybody: Exploring Data in Python 3 [ Charles R. Severance, Aimee Andrion, et al.] English Unknown General Data Science & R/Python Basics rating 4.6 stars 4.603960396039604 2568 reviews priced at $0.99 387 pages"
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,[ Donald P. Wilson],50.796,100.0,5.0,126.0,97.0,3.0,7.0,3.0,3.0,Unknown,5.421623776694053,English,Unknown,Unknown,/Python-Programming-Beginners-Course-Coding-ebook/dp/B0BN99NQYV/ref=sr_1_39?keywords=python&qid=1671164641&sr=8-39,https://www.amazon.com/Python-Programming-Beginners-Course-Coding-ebook/dp/B0BN99NQYV/ref=sr_1_39?keywords=python&qid=1671164641&sr=8-39,python_programming_for_beginners_the_1_python_programming_crash_course_for_beginners_to_learn_python_coding_well_and_fast_with_hands_on_exercises.jpg,4.663716814159292,0,Beginner Python & Data Analysis,Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick [ Donald P. Wilson] English Unknown Beginner Python & Data Analysis rating 5.0 stars 4.663716814159292 126 reviews priced at $50.80 100 pages
Python for Algorithmic Trading: From Idea to Cloud Deployment,[ Yves Hilpisch],44.49,380.0,4.3,102.0,67.0,14.0,9.0,5.0,5.0,7 x 0.9 x 9.1 inches,3.53,English,"O'Reilly Media; 1st edition (December 8, 2020)",978-1492053354,/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40,https://www.amazon.com/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40,python_for_algorithmic_trading_from_idea_to_cloud_deployment.jpg,4.33,2,Advanced Data Analysis Techniques,"Python for Algorithmic Trading: From Idea to Cloud Deployment [ Yves Hilpisch] English O'Reilly Media; 1st edition (December 8, 2020) Advanced Data Analysis Techniques rating 4.3 stars 4.33 102 reviews priced at $44.49 380 pages"
Python for Data Science: A Hands-On Introduction,[ Yuli Vasiliev],27.99,240.0,4.6,13.0,79.0,10.0,11.0,3.0,3.0,7 x 0.71 x 9.25 inches,13.0,English,"No Starch Press (August 2, 2022)",978-1718502208,/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_38?keywords=python&qid=1671164641&sr=8-38,https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_38?keywords=python&qid=1671164641&sr=8-38,python_for_data_science_a_hands_on_introduction.jpg,4.5,0,Beginner Python & Data Analysis,"Python for Data Science: A Hands-On Introduction [ Yuli Vasiliev] English No Starch Press (August 2, 2022) Beginner Python & Data Analysis rating 4.6 stars 4.5 13 reviews priced at $27.99 240 pages"
Practical Deep Learning: A Python-Based Introduction,[ Ronald T. Kneusel],36.99,464.0,4.7,38.0,82.0,14.0,4.0,3.0,3.0,7.06 x 1.13 x 9.25 inches,1.94,English,"No Starch Press (February 23, 2021)", ,/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41,https://www.amazon.com/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41,practical_deep_learning_a_python_based_introduction.jpg,4.59433962264151,0,Beginner Python & Data Analysis,"Practical Deep Learning: A Python-Based Introduction [ Ronald T. Kneusel] English No Starch Press (February 23, 2021) Beginner Python & Data Analysis rating 4.7 stars 4.59433962264151 38 reviews priced at $36.99 464 pages"
Murach's Python for Data Analysis (Training & Reference),[ Scott Mccoy],59.2,559.0,4.4,26.0,68.0,21.0,5.0,6.0,3.0,7.75 x 1.5 x 9.75 inches,2.8,English,"Mike Murach & Associates Inc (August 30, 2021)",978-1943872763,/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_108?keywords=data+analysis&qid=1671164651&sr=8-108,https://www.amazon.com/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_108?keywords=data+analysis&qid=1671164651&sr=8-108,murachs_python_for_data_analysis_training_and_reference.jpg,4.407766990291262,0,Beginner Python & Data Analysis,"Murach's Python for Data Analysis (Training & Reference) [ Scott Mccoy] English Mike Murach & Associates Inc (August 30, 2021) Beginner Python & Data Analysis rating 4.4 stars 4.407766990291262 26 reviews priced at $59.20 559 pages"
Robust Python: Write Clean and Maintainable Code,[ Patrick Viafore],32.99,380.0,4.5,57.0,73.0,15.0,6.0,2.0,4.0,7 x 1 x 9 inches,1.33,English,"O'Reilly Media; 1st edition (August 3, 2021)",978-1098100667,/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37,https://www.amazon.com/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37,robust_python_write_clean_and_maintainable_code.jpg,4.51,2,Advanced Data Analysis Techniques,"Robust Python: Write Clean and Maintainable Code [ Patrick Viafore] English O'Reilly Media; 1st edition (August 3, 2021) Advanced Data Analysis Techniques rating 4.5 stars 4.51 57 reviews priced at $32.99 380 pages"
Learning Spark: Lightning-Fast Data Analytics,"[ Jules Damji, Brooke Wenig, et al.]",40.99,397.0,4.7,171.0,80.0,16.0,2.0,2.0,1.0,7.25 x 1 x 9.25 inches,1.4,English,"O'Reilly Media; 2nd edition (August 25, 2020)",978-1492050049,/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106,https://www.amazon.com/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106,learning_spark_lightning_fast_data_analytics.jpg,4.702970297029703,2,Advanced Data Analysis Techniques,"Learning Spark: Lightning-Fast Data Analytics [ Jules Damji, Brooke Wenig, et al.] English O'Reilly Media; 2nd edition (August 25, 2020) Advanced Data Analysis Techniques rating 4.7 stars 4.702970297029703 171 reviews priced at $40.99 397 pages"
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",[ Tarek A. Atwan],49.99,630.0,4.8,16.0,78.0,22.0,7.0,3.0,3.0,7.5 x 1.42 x 9.25 inches,2.36,English,"Packt Publishing (June 30, 2022)",978-1801075541,/Time-Analysis-Python-Cookbook-exploratory/dp/1801075549/ref=sr_1_102?keywords=data+analysis&qid=1671164651&sr=8-102,https://www.amazon.com/Time-Analysis-Python-Cookbook-exploratory/dp/1801075549/ref=sr_1_102?keywords=data+analysis&qid=1671164651&sr=8-102,time_series_analysis_with_python_cookbook_practical_recipes_for_exploratory_data_analysis_data_preparation_forecasting_and_model_evaluation.jpg,4.495575221238938,3,Practical Data Tools & Techniques,"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation [ Tarek A. Atwan] English Packt Publishing (June 30, 2022) Practical Data Tools & Techniques rating 4.8 stars 4.495575221238938 16 reviews priced at $49.99 630 pages"
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",[ Anthony DeBarros],27.99,464.0,4.8,84.0,86.0,8.0,3.0,3.0,3.0,7 x 1.04 x 9.25 inches,2.05,English,"No Starch Press; 2nd edition (January 25, 2022)", ,/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_104?keywords=data+analysis&qid=1671164651&sr=8-104,https://www.amazon.com/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_104?keywords=data+analysis&qid=1671164651&sr=8-104,practical_sql_2nd_edition_a_beginners_guide_to_storytelling_with_data.jpg,4.660194174757281,0,Beginner Python & Data Analysis,"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data [ Anthony DeBarros] English No Starch Press; 2nd edition (January 25, 2022) Beginner Python & Data Analysis rating 4.8 stars 4.660194174757281 84 reviews priced at $27.99 464 pages"
Dyadic Data Analysis (Methodology in the Social Sciences),unknown,55.32,458.0,4.4,24.0,73.0,12.0,7.0,7.0,3.0,6 x 0.94 x 9 inches,1.45,English,"The Guilford Press; 1st edition (November 26, 2020)",978-1462546138,/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_103?keywords=data+analysis&qid=1671164651&sr=8-103,https://www.amazon.com/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_103?keywords=data+analysis&qid=1671164651&sr=8-103,video_data_analysis_how_to_use_21st_century_video_in_the_social_sciences.jpg,4.421568627450981,1,General Data Science & R/Python Basics,"Dyadic Data Analysis (Methodology in the Social Sciences) unknown English The Guilford Press; 1st edition (November 26, 2020) General Data Science & R/Python Basics rating 4.4 stars 4.421568627450981 24 reviews priced at $55.32 458 pages"
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report,"[ Lisa Daniels,  and , Nicholas W. Minot]",75.24,392.0,4.6,32.0,69.0,22.0,9.0,3.0,3.0,7.38 x 0.89 x 9.13 inches,1.52,English,"SAGE Publications, Inc; 1st edition (January 29, 2019)",978-1506371832,/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98,https://www.amazon.com/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98,an_introduction_to_statistics_and_data_analysis_using_stata__from_research_design_to_final_report.jpg,4.4245283018867925,1,General Data Science & R/Python Basics,"An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report [ Lisa Daniels,  and , Nicholas W. Minot] English SAGE Publications, Inc; 1st edition (January 29, 2019) General Data Science & R/Python Basics rating 4.6 stars 4.4245283018867925 32 reviews priced at $75.24 392 pages"
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence","[ Andrew Park,  and , Russell Newton]",42.141999999999996,398.0,4.7,290.0,83.0,10.0,3.0,1.0,3.0,Unknown,3.9297536898625394,en,Unknown,Unknown,/Data-Science-Beginners-Programming-Learning/dp/B0869Q3Z3H/ref=sr_1_94?keywords=data+analysis&qid=1671164651&sr=8-94,https://www.amazon.com/Data-Science-Beginners-Programming-Learning/dp/B0869Q3Z3H/ref=sr_1_94?keywords=data+analysis&qid=1671164651&sr=8-94,machine_learning_4_books_in_1_the_1_beginners_guide_to_master_the_basics_of_python_programming_learn_the_art_of_data_science_and_build_artificial_intelligence.jpg,4.69,1,General Data Science & R/Python Basics,"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence [ Andrew Park,  and , Russell Newton] en Unknown General Data Science & R/Python Basics rating 4.7 stars 4.69 290 reviews priced at $42.14 398 pages"
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",[ Mark Reed],22.58,346.0,4.6,281.0,77.0,13.0,5.0,3.0,2.0,7 x 0.78 x 10 inches,1.46,you will discover all you need ,"Independently published (July 10, 2022)",979-8840191583,/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93,https://www.amazon.com/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93,sql_3_books_1___the_ultimate_beginner_intermediate_and_expert_guides_to_master_sql_programming_quickly_with_practical_exercises.jpg,4.6,1,General Data Science & R/Python Basics,"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises [ Mark Reed] you will discover all you need  Independently published (July 10, 2022) General Data Science & R/Python Basics rating 4.6 stars 4.6 281 reviews priced at $22.58 346 pages"
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","[ Paul Deitel,  and , Harvey Deitel]",97.99,880.0,4.7,297.0,82.0,10.0,2.0,3.0,2.0,7 x 1.45 x 9.1 inches,2.83,English,"Pearson; 1st edition (February 15, 2019)",978-0135404676,/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90,intro_to_python_for_computer_science_and_data_science_learning_to_program_with_ai_big_data_and_the_cloud.jpg,4.686868686868687,3,Practical Data Tools & Techniques,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud [ Paul Deitel,  and , Harvey Deitel] English Pearson; 1st edition (February 15, 2019) Practical Data Tools & Techniques rating 4.7 stars 4.686868686868687 297 reviews priced at $97.99 880 pages"
